
#	         ._________________________.
#	..__.--¨¨|                         |¨¨--.__..
#	|        | A list of Chinese words |        |
#	|        |   by Alexander Skafte   |        |
#	'.__.--¨¨|_________________________|¨¨--.__.'


# Author:   Alexander Skafte
# Encoding: UTF-8
# Tab size: 8 spaces.


# [p] = plural
# [m] = male
# [f] = female

#	Pronouns

I, me			- wo3			- 我
you			- ni3			- 你
You			- ni2n			- 您
he, him			- ta1			- 他
she, her		- ta1			- 她
we, us			- wo3men			- 我们
you [p]			- ni3men			- 你们
they, them [m]		- ta1men			- 他们
they, them [f]		- ta1men			- 她们


#	Persons

friend			- pe2ngyou		- 朋友
male			- na2n			- 男
female			- nü3			- 女


#	Family

father			- ba4ba			- 爸爸
mother			- ma1ma			- 妈妈
siblings		- xio1ngdijie3me4i		- 兄弟姐妹
older brother		- ge1ge			- 哥哥
older sister		- jie3jie		- 姐姐
younger brother		- di4di			- 弟弟
younger sister		- me4imei		- 妹妹
mother's mother		- na3inai		- 奶奶
father's mother		- la3olao, wa4ipo2		- 姥姥, 外婆
mother's father		- ye2ye			- 爷爷
mother's mother		- la3oye, wa4igo1ng	- 姥爷, 外公


#	Professions



#	Numbers and counting

0			- li2ng			- 零
1			- yi1			- 一
2			- e4r			- 二
3			- sa1n			- 三
4			- si4			- 四
5			- wu3			- 五
6			- liu4			- 六
7			- qi1			- 七
8			- ba1			- 八
9			- jiu3			- 九
10			- shi2			- 十
100			- ba3i			- 百
1000			- qia1n			- 千
10000			- wa4n			- 万


# 1x			-    shi,    shiyi,    shier,    shisan, ...
# 2x			-  ershi,  ershiyi,  ershier,  ershisan, ...
# 3x			- sanshi, sanshiyi, sanshier, sanshisan, ...
# ?x			-   ?shi,   ?shiyo,   ?shier,   ?shisan, ...

# [x]00			- [x]bai	: {   100: yibai,    200: erbai,  ... }
# [x]000		- [x]qian	: {  1000: yiqian,  2000: erqian, ... }
# [x]0000		- [x]wan	: { 10000: yiwan,  20000: erwan,  ... }

# yi -> yao (when in a series of numbers)
# TODO: sometimes ling is added in number (like 1001). Look up when.


#	Time

this (day/year)		- ji1n			- 今
this (week)		- be3n			- 本
recently		- zui4ji4n		- 最近

day			- tia1n			- 天
yesterday		- zuo2tia1n		- 昨天
today			- ji1ntia1n		- 今天
tomorrow		- mi2ngtia1n		- 明天

year			- nia2n			- 年
last year		- qu4nia2n		- 去年
this year		- ji1nnia2n		- 今年
next year		- mi2ngnia2n		- 明年

week			- xi1ngqi1		- 星期
Monday			- xi1ngqi1yi1		- 星期一
Tuesday			- xi1ngqi1e4r		- 星期二
Wednesday		- xi1ngqi1sa1n		- 星期三
Thursday		- xi1ngqi1si4		- 星期四
Friday			- xi1ngqi1wu3		- 星期五
Saturday		- xi1ngqi1liu4		- 星期六
Sunday			- xi1ngqi1tia1n		- 星期天


#	Food and beverage

water			- shui3			- 水
coffee			- ka1fe1i			- 咖啡
tea			- cha2			- 茶
milk			- niu2na3i		- 牛奶
juice			- guo3zh1		- 果汁
food (rice, etc)	- fa4n			- 饭
Chinese cuisine		- Zho1ngguo2 ca4i		- 终归菜


#	Question words

# http://www.dummies.com/how-to/content/how-to-ask-questions-in-chinese.html

how			- ze3nmeya4ng		- 怎么样
what			- she2nme		- 什么
who			- shui2, she2i		- 谁
which			- na3			- 哪
where			- na3r			- 哪儿
why			- we4ishe2nme		- 为什么

