! English, Pīnyīn, 汉语
# Pronouns
I, me | wǒ | 我
you | nǐ | 你
You | nín | 您
he, him | tā [m] | 他
she, her | tā [f] | 她
we, us | wǒmen | 我们
you [p] | nǐmen | 你们
they [m], them [m] | tāmen [m] | 他们
they [f], them [f] | tāmen [f] | 她们
# Persons
friend | péngyou | 朋友
male | nán | 男
female | nǚ | 女
someone | yǒurén | 有人
# Family
father | bàba | 爸爸
mother | māma | 妈妈
siblings | xiōngdijiěmèi | 兄弟姐妹
older brother | gēge | 哥哥
older sister | jiějie | 姐姐
younger brother | dìdi | 弟弟
younger sister | mèimei | 妹妹
father's mother | nǎinai | 奶奶
mother's mother | lǎolao, wàipó | 姥姥, 外婆
father's father | yéye | 爷爷
mother's father | lǎoye, wàigōng | 姥爷, 外公
# Occupations
student | xuéshēng | 学生
teacher | lǎoshī | 老师
doctor | yīshēng, dàifu | 医生, 大夫
businessman | shāngrén | 商人
manager | jīnglǐ | 经理
engineer | gōngchéngshī | 工程师
waiter, waitress | fúwùyuán | 服务员
# Numbers and counting
0, zero | líng | 零
1, one | yī | 一
2, two | èr, liǎng | 二, 两
3, three | sān | 三
4, four | sì | 四
5, five | wǔ | 五
6, six | liù | 六
7, seven | qī | 七
8, eight | bā | 八
9, nine | jiǔ | 九
10, ten | shí | 十
100, hundred | bǎi | 百
1000, thousand | qiān | 千
10000, ten thousand | wàn | 万
# Time
now | xiànzài | 现在
before | yǐqián | 以前
after | yǐhòu | 以后
first | xiān | 先
a while | yíhuì | 一会
just, just now | gāng | 刚
(for) a long time | hǎojiǔ | 好久
time, period, moment | shíhòu | 时候
this (day/year) | jīn | 今
this (week) | běn | 本
recently | zuìjìn | 最近
sometimes | yǒu shíhou | 有时候
usually | yībān | 一般
morning | shàngwǔ | 上午
noon | zhōngwǔ | 中午
afternoon | xiàwǔ | 下午
early, morning | zǎo | 早
noon, midday | wǔ | 午
late, evening, night | wǎn | 晚
day | tiān | 天
yesterday | zuótiān | 昨天
today | jīntiān | 今天
tomorrow | míngtiān | 明天
tonight | jīnwǎn | 今晚
month | yuè | 月
date, day | hào | 号
year | nián | 年
last year | qùnián | 去年
this year | jīnnián | 今年
next year | míngnián | 明年
week | xīngqī, zhōu | 星期, 周
Monday | xīngqīyī | 星期一
Tuesday | xīngqīèr | 星期二
Wednesday | xīngqīsān | 星期三
Thursday | xīngqīsì | 星期四
Friday | xīngqīwǔ | 星期五
Saturday | xīngqīliù | 星期六
Sunday | xīngqītiān, xīngqīrì | 星期天
# Clock
hour | diǎn | 点
minute | fēn | 分
second | miǎo | 秒
quarter | kè | 刻
half | bàn | 半
short of | chà | 差
two o'clock | liǎngdiǎn | 亮点
hour (duration) | xiǎoshí | 小时
minute (duration) | fēnzhōng | 分钟
# Food and beverage
alcohol, liquor | jiǔ | 酒
beer | píjiǔ | 啤酒
