! English, Pīnyīn, 汉语
# Pronouns
I, me | wǒ | 我
you | nǐ | 你
You | nín | 您
he, him | tā [m] | 他
she, her | tā [f] | 她
we, us | wǒmen | 我们
you [p] | nǐmen | 你们
they [m], them [m] | tāmen [m] | 他们
they [f], them [f] | tāmen [f] | 她们
# Persons
friend | péngyou | 朋友
male | nán | 男
female | nǚ | 女
waiter, waitress | fúwùyuán | 服务员
# Family
father | bàba | 爸爸
mother | māma | 妈妈
siblings | xiōngdijiěmèi | 兄弟姐妹
older brother | gēge | 哥哥
older sister | jiějie | 姐姐
younger brother | dìdi | 弟弟
younger sister | mèimei | 妹妹
father's mother | nǎinai | 奶奶
mother's mother | lǎolao, wàipó | 姥姥, 外婆
father's father | yéye | 爷爷
mother's father | lǎoye, wàigōng | 姥爷, 外公
# Occupations
student | xuéshēng | 学生
teacher | lǎoshī | 老师
doctor | yīshēng | 医生
businessman | shāngrén | 商人
engineer | gōngchéngshī | 工程师
# Numbers and counting
0 | líng | 零
1 | yī | 一
2 | èr | 二
3 | sān | 三
4 | sì | 四
5 | wǔ | 五
6 | liù | 六
7 | qī | 七
8 | bā | 八
9 | jiǔ | 九
10 | shí | 十
100 | bǎi | 百
1000 | qiān | 千
10000 | wàn | 万
# Time
now | xiànzài | 现在
before | yǐqián | 以前
after | yǐhòu | 以后
this (day/year) | jīn | 今
this (week) | běn | 本
recently | zuìjìn | 最近
early, morning | zǎo | 早
noon, midday | wǔ | 午
late, evening, night | wǎn | 晚
day | tiān | 天
yesterday | zuótiān | 昨天
today | jīntiān | 今天
tomorrow | míngtiān | 明天
tonight | jīnwǎn | 今晚
month | yuè | 月
date, day | hào | 号
year | nián | 年
last year | qùnián | 去年
this year | jīnnián | 今年
next year | míngnián | 明年
week | xīngqī, zhōu | 星期, 周
Monday | xīngqīyī | 星期一
Tuesday | xīngqīèr | 星期二
Wednesday | xīngqīsān | 星期三
Thursday | xīngqīsì | 星期四
Friday | xīngqīwǔ | 星期五
Saturday | xīngqīliù | 星期六
Sunday | xīngqītiān, xīngqīrì | 星期天
# Clock
hour | diǎn | 点
minute | fēn | 分
second | miǎo | 秒
quarter | kè | 刻
half | bàn | 半
short of | chà | 差
two o'clock | liǎngdiǎn | 亮点
# Food and beverage
alcohol, liquor | jiǔ | 酒
beer | píjǐu | 啤酒
Chinese cuisine | Zhōngguócài | 中国菜
coffee | kāfēi | 咖啡
french fries | shǔtiáo | 薯条
food, rice | fàn | 饭
juice | guǒzh1 | 果汁
milk | niúnǎi | 牛奶
tea | chá | 茶
water | shuǐ | 水
# Question words
how | zěnmeyàng | 怎么样
what | shénme | 什么
who | shuí, shéi | 谁
which | nǎ | 哪
where | nǎr | 哪儿
why | wèishénme | 为什么
how many, what, several | jǐ | 几
how many, how much | duōshǎo | 多少
# Places
bookstore | shūdiàn | 书店
café | kāfēidiàn | 咖啡店
